SMILES	HMDB	HMP2_metab
CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1	HMDB0015371	gemfibrozil
O=C(\C=C\C=C\C1=CC2=C(OCO2)C=C1)N1CCCCC1	HMDB0029377	piperine
CNC(=N)NCCC[C@H](N)C(O)=O	HMDB0029416	NMMA
O=C1NS(=O)(=O)C2=C1C=CC=C2	HMDB0029723	saccharin
OC1=CC=C(CC#N)C=C1	HMDB0029757	4-hydroxybenzeneacetonitrile
[H][C@@]1(CC[C@@]2(O)C3=CC(=O)[C@]4([H])C[C@@H](O)[C@@H](O)C[C@]4(C)[C@@]3([H])CC[C@]12C)[C@@](C)(O)[C@H](O)CCC(C)(C)O	HMDB0030180	crustecdysone
CCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC	HMDB0031106	C51:0 TAG
CC(=O)NC(CC1=CNC=N1)C(O)=O	HMDB0032055	N-acetylhistidine
CC1=CC(=O)NS(=O)(=O)O1	HMDB0033585	acesulfame
OC(=O)C1CC2=C(CN1)NC1=CC=CC=C21	HMDB0035665	1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate
CC1NC(CC2=C1NC1=CC=CC=C21)C(O)=O	HMDB0037942	tetrahydro-1-methyl-beta-carboline-3-carboxylate
	HMDB0041876	diacetylspermine
[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC	HMDB0042063	C44:0 TAG
[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC	HMDB0042093	C45:0 TAG
[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCC	HMDB0042104	C51:1 TAG
[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC	HMDB0042226	C55:2 TAG
[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC	HMDB0042466	C55:3 TAG
[H][C@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	HMDB0043058	C53:3 TAG
OC(CCC(O)=O)C(O)=O	HMDB0059655	2-hydroxyglutarate
[H]OC1=C(C([H])=C(C([H])=C1[H])C(=O)C([H])([H])[H])C([H])([H])[H]	HMDB0059824	4-hydroxy-3-methylacetophenone
CCCCCC\C=C/CCCCCCCCC(O)=O	HMDB0060038	10-heptadecenoate
CC(C)CCCCCCCCCCCCCCCC(O)=O	HMDB0061710	17-methylstearate
	HMDB0062548	2-hydroxyhexadecanoate
	HMDB0062781	alpha-ketoglutarate
	HMDB0000885	NH4_C16:0 CE
	HMDB0000658	NH4_C16:1 CE
	HMDB0011565	NH4_C16:1 MAG
	HMDB0010368	NH4_C18:0 CE
	HMDB0011131	NH4_C18:0 MAG
	HMDB0000918	NH4_C18:1 CE
	HMDB0000610	NH4_C18:2 CE
	HMDB0010369	NH4_C18:3 CE
	HMDB0010373	NH4_C20:3 CE
	HMDB0006726	NH4_C20:4 CE
	HMDB0006731	NH4_C20:5 CE
	HMDB0011582	NH4_C22:1 MAG
	HMDB0006729	NH4_C22:4 CE
	HMDB0010374	NH4_C22:5 CE
	HMDB0006733	NH4_C22:6 CE
	HMDB0007015	NH4_C32:1 DAG
	HMDB0055967	NH4_C32:2 DAG
	HMDB0007157	NH4_C34:1 DAG
	HMDB0007103	NH4_C34:2 DAG
	HMDB0056023	NH4_C34:3 DAG
	HMDB0007028	NH4_C36:0 DAG
	HMDB0007360	NH4_C36:1 DAG
	HMDB0055972	NH4_C36:2 DAG
	HMDB0056049	NH4_C36:3 DAG
	HMDB0055973	NH4_C36:4 DAG
	HMDB0056028	NH4_C38:4 DAG
	HMDB0056029	NH4_C38:5 DAG
	HMDB0042061	NH4_C42:0 TAG
	HMDB0042960	NH4_C44:0 TAG
	HMDB0042301	NH4_C44:1 TAG
	HMDB0047770	NH4_C44:2 TAG
	HMDB0042064	NH4_C46:0 TAG
	HMDB0042274	NH4_C46:1 TAG
	HMDB0042281	NH4_C46:2 TAG
	HMDB0047888	NH4_C46:3 TAG
	HMDB0043047	NH4_C48:0 TAG
	HMDB0044053	NH4_C48:1 TAG
	HMDB0042571	NH4_C48:2 TAG
	HMDB0042079	NH4_C48:3 TAG
	HMDB0042289	NH4_C48:4 TAG
	HMDB0043027	NH4_C49:1 TAG
	HMDB0043076	NH4_C50:0 TAG
	HMDB0044027	NH4_C50:1 TAG
	HMDB0042138	NH4_C50:2 TAG
	HMDB0043006	NH4_C50:3 TAG
	HMDB0047962	NH4_C50:4 TAG
	HMDB0048597	NH4_C50:5 TAG
	HMDB0043859	NH4_C51:0 TAG
	HMDB0042452	NH4_C51:1 TAG
	HMDB0043872	NH4_C51:2 TAG
	HMDB0043483	NH4_C51:3 TAG
	HMDB0005365	NH4_C52:0 TAG
	HMDB0042277	NH4_C52:1 TAG
	HMDB0042574	NH4_C52:2 TAG
	HMDB0044333	NH4_C52:3 TAG
	HMDB0044069	NH4_C52:4 TAG
	HMDB0048641	NH4_C52:5 TAG
	HMDB0053658	NH4_C52:6 TAG
	HMDB0044709	NH4_C53:2 TAG
	HMDB0044710	NH4_C53:3 TAG
	HMDB0044736	NH4_C54:2 TAG
	HMDB0044710	NH4_C54:3 TAG
	HMDB0053264	NH4_C54:4 TAG
	HMDB0042618	NH4_C54:5 TAG
	HMDB0053653	NH4_C54:6 TAG
	HMDB0042367	NH4_C56:1 TAG
	HMDB0042228	NH4_C56:2 TAG
	HMDB0042229	NH4_C56:3 TAG
	HMDB0053290	NH4_C56:4 TAG
	HMDB0044349	NH4_C56:6 TAG
	HMDB0060920	2-hydroxyibuprofen
	HMDB0000908	5alpha-cholestan-3beta-ol
	HMDB0060994	alpha-hydroxymetoprolol
	HMDB0000852	beta-sitosterol
	HMDB0029216	C16:1 SM
CCCCCCCCCCCCCC=CC(C(CO)NC(=O)C)O		C2 Ceramide (d18:1)
	HMDB0006455	C20:4 carnitine
	HMDB0042061	C42:0 TAG
	HMDB0042301	C44:1 TAG
	HMDB0047770	C44:2 TAG
	HMDB0047888	C46:3 TAG
	HMDB0042289	C48:4 TAG
	HMDB0001925	carboxyibuprofen
		carnosol_isomer
CC1=NCCC(N1)C(=O)O		ectoine
	HMDB0005060	eicosanedioate
	HMDB0094696	N-methylproline
	HMDB0029432	S-methylcysteine-S-oxide
CCCCCCCCCCCCCC=CC(C(CO)N)O		threosphingosine
NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	HMDB0000014	2-deoxycytidine
