compound_chembl_id,assay_description,standard_type,bao,pchembl_value,target_chembl_id,hgncid,target_name
CHEMBL1162496,TP_TRANSPORTER: inhibition of pyruvate uptake in Xenopus laevis oocytes,Activity,BAO_0001103,,CHEMBL2073704,SLC16A7,Monocarboxylate transporter 2
CHEMBL606510,Ratio of EC50 stim-QRS (conduction block) and EC50 for vasodilation of coronary arteries,Ratio,BAO_0000179,,CHEMBL2096679,ADORA2A,Adenosine receptors; A1 & A2
CHEMBL1200337,PubChem BioAssay. A quantitative high throughput screen for small molecules that induce DNA re-replication in MCF 10a normal breast cells. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1293278,GMNN,Geminin
CHEMBL606510,Coronary arteries vasodilation at the Adenosine A2 receptor in langendorff guinea pig heart preparation,EC50,BAO_0000188,7.28,CHEMBL2094257,ADORA2A,Adenosine A2 receptor
CHEMBL1162497,PUBCHEM_BIOASSAY: HTS for Inhibitors of HP1-beta Chromodomain Interactions with Methylated Histone Tails. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID488962],Potency,BAO_0000186,,CHEMBL1741193,CBX1,Chromobox protein homolog 1
CHEMBL1047,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of GCN5L2. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504398],Potency,BAO_0000186,,CHEMBL5501,KAT2A,Histone acetyltransferase GCN5
CHEMBL1047,PubChem BioAssay. A quantitative high throughput screen for small molecules that induce DNA re-replication in SW480 colon adenocarcinoma cells. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1293278,GMNN,Geminin
CHEMBL2356097,PubChem BioAssay. qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in presence of CPT. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1075138,TDP1,Tyrosyl-DNA phosphodiesterase 1
CHEMBL522095,Agonist activity human recombinant adenosine A1 receptor expressed in CHO cells assessed as inhibition of forskolin-stimulated adenylyl cyclase activity,Activity,BAO_0000375,,CHEMBL226,ADORA1,Adenosine A1 receptor
CHEMBL1784886,Agonist activity at human recombinant P2Y4 receptor expressed in human 1321N1 cells assessed as [3H]inositol phosphate production after 30 mins by scintillation proximity assay,EC50,BAO_0000188,5.35,CHEMBL2123,P2RY4,Pyrimidinergic receptor P2Y4
CHEMBL499138,Agonist activity at human recombinant P2Y2 receptor expressed in human 1321N1 cells assessed as [3H]inositol phosphate production after 30 mins by scintillation proximity assay,EC50,BAO_0000188,6.52,CHEMBL4398,P2RY2,Purinergic receptor P2Y2
CHEMBL192008,PUBCHEM_BIOASSAY: qHTS assay for small molecule antagonists of androgen receptor signaling. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1871,AR,Androgen Receptor
CHEMBL604838,Ratio of EC50 stim-QRS (conduction block) and EC50 for vasodilation of coronary arteries,Ratio,BAO_0000179,,CHEMBL2096679,ADORA1,Adenosine receptors; A1 & A2
CHEMBL1162484,TP_TRANSPORTER: uptake in Xenopus laevis oocytes,Km,BAO_0000477,,CHEMBL2073663,SLC16A3,Monocarboxylate transporter 4
CHEMBL1784886,Agonist activity at human recombinant P2Y6 receptor expressed in human 1321N1 cells assessed as [3H]inositol phosphate production after 30 mins by scintillation proximity assay,EC50,BAO_0000188,4.92,CHEMBL4714,P2RY6,Pyrimidinergic receptor P2Y6
CHEMBL605679,Ratio of EC50 stim-QRS (conduction block) and EC50 for vasodilation of coronary arteries,Ratio,BAO_0000179,,CHEMBL2096679,ADORA2B,Adenosine receptors; A1 & A2
CHEMBL1784886,Agonist activity at human recombinant P2Y2 receptor expressed in human 1321N1 cells assessed as [3H]inositol phosphate production after 30 mins by scintillation proximity assay,EC50,BAO_0000188,5.43,CHEMBL4398,P2RY2,Purinergic receptor P2Y2
CHEMBL436959,Antagonist activity at human P2Y6 receptor assessed as inhibition of UDP-induced IP accumulation at 100 uM,Activity,BAO_0000375,,CHEMBL2123,P2RY4,Pyrimidinergic receptor P2Y4
CHEMBL606510,Coronary arteries vasodilation at the Adenosine A2 receptor in langendorff guinea pig heart preparation,EC50,BAO_0000188,7.28,CHEMBL2094257,ADORA2B,Adenosine A2 receptor
CHEMBL412989,Agonist activity at human P2Y14 expressed in COS7 cells assessed as stimulation of PLC-mediated [3H]inositol hydrolysis at 100 uM,Activity,BAO_0000375,,CHEMBL4518,P2RY14,Purinergic receptor P2Y14
CHEMBL1162484,PUBCHEM_BIOASSAY: qHTS for Inhibitors of Polymerase Kappa. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588638],Potency,BAO_0000186,,CHEMBL5365,POLK,DNA polymerase kappa
CHEMBL444212,Agonist activity at human recombinant P2Y4 receptor expressed in human 1321N1 cells assessed as [3H]inositol phosphate production after 30 mins by scintillation proximity assay,EC50,BAO_0000188,5.75,CHEMBL2123,P2RY4,Pyrimidinergic receptor P2Y4
CHEMBL192008,PubChem BioAssay. qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1075094,NFE2L2,Nuclear factor erythroid 2-related factor 2
CHEMBL1162497,TP_TRANSPORTER: uptake in Xenopus laevis oocytes,Km,BAO_0000477,,CHEMBL2073663,SLC16A3,Monocarboxylate transporter 4
CHEMBL436959,Agonist activity at human P2Y4 receptor expressed in 1321N1 cells assessed as IP accumulation by SPA at 100 uM,Activity,BAO_0001103,,CHEMBL2123,P2RY4,Pyrimidinergic receptor P2Y4
CHEMBL605679,Ratio of EC50 stim-QRS (conduction block) and EC50 for vasodilation of coronary arteries,Ratio,BAO_0000179,,CHEMBL2096679,ADORA2A,Adenosine receptors; A1 & A2
CHEMBL499138,Agonist activity at human recombinant P2Y6 receptor expressed in human 1321N1 cells assessed as [3H]inositol phosphate production after 30 mins by scintillation proximity assay,EC50,BAO_0000188,5.11,CHEMBL4714,P2RY6,Pyrimidinergic receptor P2Y6
CHEMBL436959,Antagonist activity at human P2Y2 receptor assessed as inhibition of UTP-induced IP accumulation at 100 uM,Activity,BAO_0000375,,CHEMBL4398,P2RY2,Purinergic receptor P2Y2
CHEMBL605679,Coronary arteries vasodilation at the Adenosine A2 receptor in langendorff guinea pig heart preparation,EC50,BAO_0000188,5.45,CHEMBL2094257,ADORA2A,Adenosine A2 receptor
CHEMBL499138,Agonist activity at human P2Y6 receptor expressed in human 1321N1 cells assessed as [3H]inositol phosphate accumulation by scintillation proximity assay,EC50,BAO_0000188,5.11,CHEMBL4714,P2RY6,Pyrimidinergic receptor P2Y6
CHEMBL1784885,Agonist activity at human recombinant P2Y4 receptor expressed in human 1321N1 cells assessed as [3H]inositol phosphate production after 30 mins by scintillation proximity assay,EC50,BAO_0000188,6.74,CHEMBL2123,P2RY4,Pyrimidinergic receptor P2Y4
CHEMBL604838,Coronary arteries vasodilation at the Adenosine A2 receptor in langendorff guinea pig heart preparation,EC50,BAO_0000188,7.15,CHEMBL2094257,ADORA2A,Adenosine A2 receptor
CHEMBL436959,Agonist activity at human P2Y6 receptor expressed in 1321N1 cells assessed as IP accumulation by SPA at 1 uM,Activity,BAO_0001103,,CHEMBL4714,P2RY6,Pyrimidinergic receptor P2Y6
CHEMBL1162497,PubChem BioAssay. A quantitative high throughput screen for small molecules that induce DNA re-replication in SW480 colon adenocarcinoma cells. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1293278,GMNN,Geminin
CHEMBL444212,Agonist activity at human P2Y4 receptor expressed in human 1321N1 cells assessed as [3H]inositol phosphate accumulation by scintillation proximity assay,EC50,BAO_0000188,5.75,CHEMBL2123,P2RY4,Pyrimidinergic receptor P2Y4
CHEMBL436959,Agonist activity at human P2Y2 receptor expressed in 1321N1 cells assessed as IP accumulation by SPA,EC50,BAO_0000188,,CHEMBL4398,P2RY2,Purinergic receptor P2Y2
CHEMBL436959,Agonist activity at human P2Y6 receptor expressed in 1321N1 cells assessed as IP accumulation by SPA at 100 uM,Activity,BAO_0001103,,CHEMBL4714,P2RY6,Pyrimidinergic receptor P2Y6
CHEMBL1784885,Agonist activity at human recombinant P2Y6 receptor expressed in human 1321N1 cells assessed as [3H]inositol phosphate production after 30 mins by scintillation proximity assay,EC50,BAO_0000188,5.93,CHEMBL4714,P2RY6,Pyrimidinergic receptor P2Y6
CHEMBL1200337,PubChem BioAssay. A quantitative high throughput screen for small molecules that induce DNA re-replication in SW480 colon adenocarcinoma cells. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1293278,GMNN,Geminin
CHEMBL436959,Agonist activity at human P2Y4 receptor expressed in 1321N1 cells assessed as IP accumulation by SPA,EC50,BAO_0000188,,CHEMBL2123,P2RY4,Pyrimidinergic receptor P2Y4
CHEMBL1388952,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of BAZ2B. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504391],Potency,BAO_0000186,,CHEMBL1741220,BAZ2B,Bromodomain adjacent to zinc finger domain protein 2B
CHEMBL197110,Binding affinity to human EAAT3 expressed in HEK293 cells in FMP (FLPR) assay,pKm,BAO_0000179,,CHEMBL2721,SLC1A1,Excitatory amino acid transporter 3
CHEMBL1388952,PubChem BioAssay. qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in presence of CPT. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1075138,TDP1,Tyrosyl-DNA phosphodiesterase 1
CHEMBL1867641,"PubChem BioAssay. qHTS for Agonist of gsp, the Etiologic Mutation Responsible for Fibrous Dysplasia/McCune-Albright Syndrome: qHTS. (Class of assay: confirmatory) ",Potency,BAO_0000186,,CHEMBL4377,GNAS,"Guanine nucleotide-binding protein G(s), subunit alpha"
CHEMBL1567809,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of RanGTP induced Rango (Ran-regulated importin-beta cargo) - Importin beta complex dissociation. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID540262],Potency,BAO_0000186,,CHEMBL3885569,KPNB1,GTP-binding nuclear protein Ran/Importin subunit beta-1/Snurportin-1
CHEMBL1902058,PubChem BioAssay. Inhibitors of USP1/UAF1: Primary Screen.   (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1795087,USP1,Ubiquitin carboxyl-terminal hydrolase 1
CHEMBL29711,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of RecQ-Like Dna Helicase 1 (RECQ1). (Class of assay: confirmatory) [Related pubchem assays: 594 (Rhodamine region spectral profiling screen), 593 (Fluorescein region spectral profiling screen), 2367 (Probe Development Summary for Inhibitors of RecQ-Like Dna Helicase 1 (RECQ1)), 2353 (qHTS Validation Assay for Inhibitors of RecQ-Like Dna Helicase 1 (RECQ1))]",Potency,BAO_0000186,5.25,CHEMBL1293236,RECQL,ATP-dependent DNA helicase Q1
CHEMBL1388952,PubChem BioAssay. qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in absence of CPT. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1075138,TDP1,Tyrosyl-DNA phosphodiesterase 1
CHEMBL1567809,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Aldehyde Dehydrogenase 1 (ALDH1A1). (Class of assay: confirmatory) [Related pubchem assays: 1030 (qHTS Validation Assay for Inhibitors of aldehyde dehydrogenase 1 (ALDH1A1))],Potency,BAO_0000186,4.5,CHEMBL3577,ALDH1A1,Aldehyde dehydrogenase 1A1
CHEMBL1714874,"PUBCHEM_BIOASSAY: qHTS screen for small molecules that inhibit ELG1-dependent DNA repair in human embryonic kidney (HEK293T) cells expressing luciferase-tagged ELG1. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493107, AID493125]",Potency,BAO_0000186,,CHEMBL1741209,ATAD5,ATPase family AAA domain-containing protein 5
CHEMBL1447155,PUBCHEM_BIOASSAY: qHTS for Inhibitors of Polymerase Iota. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588623],Potency,BAO_0000186,,CHEMBL5391,POLI,DNA polymerase iota
CHEMBL1162144,TP_TRANSPORTER: inhibition of PGE2 uptake in PGT-expressing HeLa cells,Ki,BAO_0000192,,CHEMBL2073703,SLCO2A1,Solute carrier organic anion transporter family member 2A1
CHEMBL2029008,Agonist activity at human P2Y purinoceptor 2 expressed in human 1321N1 cells assessed as increase in intracellular calcium concentration by spectrofluorimetry,EC50,BAO_0000188,,CHEMBL4398,P2RY2,Purinergic receptor P2Y2
CHEMBL1231700,PubChem BioAssay. qHTS screen for enhancers of Arylsulfatase A (ASA1): LOPAC Validation Assay.   (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL2193,ARSA,Cerebroside-sulfatase
CHEMBL371946,Binding affinity to human EAAT1 expressed in HEK293 cells in FMP (FLPR) assay,pKm,BAO_0000179,,CHEMBL3085,SLC1A3,Excitatory amino acid transporter 1
CHEMBL29711,PubChem BioAssay. qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in absence of CPT. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1075138,TDP1,Tyrosyl-DNA phosphodiesterase 1
CHEMBL197110,Binding affinity to human EAAT1 expressed in HEK293 cells in FMP (FLPR) assay,pKm,BAO_0000179,,CHEMBL3085,SLC1A3,Excitatory amino acid transporter 1
CHEMBL29711,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Histone Lysine Methyltransferase G9a. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504404],Potency,BAO_0000186,,CHEMBL6032,EHMT2,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 3"
CHEMBL1330613,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of the ERK Signaling Pathway using a Homogeneous Screening Assay. (Class of assay: confirmatory) ,Potency,BAO_0000186,7.2,CHEMBL4040,MAPK1,MAP kinase ERK2
CHEMBL197110,Binding affinity to human EAAT1 expressed in HEK293 cells in FMP (FLPR) assay,Km,BAO_0000477,,CHEMBL3085,SLC1A3,Excitatory amino acid transporter 1
CHEMBL243587,PubChem BioAssay. qHTS for Inhibitors of Glutaminase (GLS). (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL2146302,GLS,"Glutaminase kidney isoform, mitochondrial"
CHEMBL2029008,Antagonist activity at human P2Y purinoceptor 4 expressed in human 1321N1 cells assessed as inhibition of UTP-induced increase in intracellular calcium concentration by spectrofluorimetry,Activity,BAO_0000375,,CHEMBL2123,P2RY4,Pyrimidinergic receptor P2Y4
CHEMBL1231700,PUBCHEM_BIOASSAY: qHTS Validation Assay to Find Inhibitors of Pin1. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504591],Potency,BAO_0000186,,CHEMBL2288,PIN1,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1
CHEMBL1388952,PubChem BioAssay. qHTS for Antagonist of cAMP-regulated guanine nucleotide exchange factor 3 (EPAC1): primary screen.   (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL2029197,RAPGEF3,Rap guanine nucleotide exchange factor 3
CHEMBL29711,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Agonists for Hypoxia Response Element Signaling Pathway. (Class of assay: confirmatory) [Related pubchem assays: 915 ],Potency,BAO_0000186,5.7,CHEMBL4261,HIF1A,Hypoxia-inducible factor 1 alpha
CHEMBL1388952,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Histone Lysine Methyltransferase G9a. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504404],Potency,BAO_0000186,,CHEMBL6032,EHMT2,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 3"
CHEMBL371946,Binding affinity to human EAAT3 expressed in HEK293 cells in FMP (FLPR) assay,pKm,BAO_0000179,,CHEMBL2721,SLC1A1,Excitatory amino acid transporter 3
CHEMBL1435599,PUBCHEM_BIOASSAY: qHTS for Inhibitors of Polymerase Kappa. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588638],Potency,BAO_0000186,,CHEMBL5365,POLK,DNA polymerase kappa
CHEMBL2029008,Antagonist activity at human P2Y purinoceptor 2 expressed in human 1321N1 cells assessed as inhibition of UTP-induced increase in intracellular calcium concentration by spectrofluorimetry,Activity,BAO_0000375,,CHEMBL4398,P2RY2,Purinergic receptor P2Y2
CHEMBL197110,Binding affinity to human EAAT3 expressed in HEK293 cells in FMP (FLPR) assay,Km,BAO_0000477,,CHEMBL2721,SLC1A1,Excitatory amino acid transporter 3
CHEMBL1162144,TP_TRANSPORTER: uptake in Xenopus laevis oocytes,Activity,BAO_0000375,,CHEMBL2073719,SLC16A10,SLC16A10 protein
CHEMBL371946,Binding affinity to human EAAT2 expressed in HEK293 cells in FMP (FLPR) assay,Km,BAO_0000477,,CHEMBL4973,SLC1A2,Excitatory amino acid transporter 2
CHEMBL1447155,PubChem BioAssay. A quantitative high throughput screen for small molecules that induce DNA re-replication in MCF 10a normal breast cells. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1293278,GMNN,Geminin
CHEMBL1231700,PUBCHEM_BIOASSAY: Inhibitors of Regulator of G Protein Signaling (RGS) 4: qHTS. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504856],Potency,BAO_0000186,,CHEMBL1795091,RGS4,Regulator of G-protein signaling 4
CHEMBL500596,TP_TRANSPORTER: inhibition of PAH uptake in OAT1-expressing OK cells,IC50,BAO_0000190,4.6,CHEMBL1641347,SLC22A6,Solute carrier family 22 member 6
CHEMBL1567809,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of RanGTP induced Rango (Ran-regulated importin-beta cargo) - Importin beta complex dissociation. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID540262],Potency,BAO_0000186,,CHEMBL3885569,SNUPN,GTP-binding nuclear protein Ran/Importin subunit beta-1/Snurportin-1
CHEMBL1567809,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of RanGTP induced Rango (Ran-regulated importin-beta cargo) - Importin beta complex dissociation. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID540262],Potency,BAO_0000186,,CHEMBL3885569,RAN,GTP-binding nuclear protein Ran/Importin subunit beta-1/Snurportin-1
CHEMBL1867641,PUBCHEM_BIOASSAY: Inhibitors of Regulator of G Protein Signaling (RGS) 4: qHTS. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504856],Potency,BAO_0000186,,CHEMBL1795091,RGS4,Regulator of G-protein signaling 4
CHEMBL1388952,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of JMJD2A-Tudor Domain. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504402],Potency,BAO_0000186,,CHEMBL5896,KDM4A,Lysine-specific demethylase 4A
CHEMBL1162144,TP_TRANSPORTER: uptake in Xenopus laevis oocytes,Km,BAO_0000477,,CHEMBL2073663,SLC16A3,Monocarboxylate transporter 4
CHEMBL29711,PUBCHEM_BIOASSAY: qHTS Assay for Enhancers of SMN2 Splice Variant Expression. (Class of assay: confirmatory) ,Potency,BAO_0000186,6.1,CHEMBL1293232,SMN1,Survival motor neuron protein
CHEMBL1867641,PubChem BioAssay. qHTS of GLP-1 Receptor Inverse Agonists (Inhibition Mode). (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1784,GLP1R,Glucagon-like peptide 1 receptor
CHEMBL29711,PUBCHEM_BIOASSAY: qHTS Assay for Enhancers of SMN2 Splice Variant Expression. (Class of assay: confirmatory) ,Potency,BAO_0000186,5.65,CHEMBL1293232,SMN2,Survival motor neuron protein
CHEMBL197110,Binding affinity to human EAAT2 expressed in HEK293 cells in FMP (FLPR) assay,pKm,BAO_0000179,,CHEMBL4973,SLC1A2,Excitatory amino acid transporter 2
CHEMBL1435599,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Texas Red Labeled MLL-derived Mutant Peptide. (Class of assay: confirmatory) ,Potency,BAO_0000186,5.0,CHEMBL2093861,MEN1,Menin/Histone-lysine N-methyltransferase MLL
CHEMBL1447155,PUBCHEM_BIOASSAY: HTS for Inhibitors of HP1-beta Chromodomain Interactions with Methylated Histone Tails. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID488962],Potency,BAO_0000186,,CHEMBL1741193,CBX1,Chromobox protein homolog 1
CHEMBL1388952,PUBCHEM_BIOASSAY: HTS for Inhibitors of HP1-beta Chromodomain Interactions with Methylated Histone Tails. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID488962],Potency,BAO_0000186,,CHEMBL1741193,CBX1,Chromobox protein homolog 1
CHEMBL1388952,PubChem BioAssay. qHTS for Activators of Integrin-Mediated Alleviation for Muscular Dystrophy. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL2146305,CGA,Glycoprotein hormones alpha chain
CHEMBL29711,PubChem BioAssay. qHTS Assay for Inhibitors of the Human Apurinic/apyrimidinic Endonuclease 1 (APE1).   (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL5619,APEX1,DNA-(apurinic or apyrimidinic site) lyase
CHEMBL29711,PUBCHEM_BIOASSAY: qHTS Assay for Modulators of Lamin A Splicing. (Class of assay: confirmatory) ,Potency,BAO_0000186,6.1,CHEMBL1293235,LMNA,Prelamin-A/C
CHEMBL371946,Binding affinity to human EAAT1 expressed in HEK293 cells in FMP (FLPR) assay,Km,BAO_0000477,,CHEMBL3085,SLC1A3,Excitatory amino acid transporter 1
CHEMBL1567809,"PubChem BioAssay. qHTS for Agonist of gsp, the Etiologic Mutation Responsible for Fibrous Dysplasia/McCune-Albright Syndrome: qHTS. (Class of assay: confirmatory) ",Potency,BAO_0000186,,CHEMBL4377,GNAS,"Guanine nucleotide-binding protein G(s), subunit alpha"
CHEMBL3391768,PUBCHEM_BIOASSAY: qHTS for Inhibitors of Polymerase Iota. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588623],Potency,BAO_0000186,,CHEMBL5391,POLI,DNA polymerase iota
CHEMBL1447155,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of DNA Polymerase Beta. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.1,CHEMBL2392,POLB,DNA polymerase beta
CHEMBL371946,Binding affinity to human EAAT2 expressed in HEK293 cells in FMP (FLPR) assay,pKm,BAO_0000179,,CHEMBL4973,SLC1A2,Excitatory amino acid transporter 2
CHEMBL2029008,Agonist activity at human P2Y purinoceptor 4 expressed in human 1321N1 cells assessed as increase in intracellular calcium concentration by spectrofluorimetry,EC50,BAO_0000188,,CHEMBL2123,P2RY4,Pyrimidinergic receptor P2Y4
CHEMBL1714874,PUBCHEM_BIOASSAY: HTS for Inhibitors of HP1-beta Chromodomain Interactions with Methylated Histone Tails. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID488962],Potency,BAO_0000186,,CHEMBL1741193,CBX1,Chromobox protein homolog 1
CHEMBL29711,"PUBCHEM_BIOASSAY: qHTS Multiplex Assay to Identify Dual Action Probes in a Cell Model of Huntington: Cytoprotection confirmation (ATP). (Class of assay: confirmatory) [Related pubchem assays: 1482, 1471, 1688 ]",Potency,BAO_0000186,6.2,CHEMBL5514,HTT,Huntingtin
CHEMBL1162144,TP_TRANSPORTER: uptake in Xenopus laevis oocytes,Km,BAO_0000477,,CHEMBL2073704,SLC16A7,Monocarboxylate transporter 2
CHEMBL3391768,PubChem BioAssay. qHTS for Inhibitors of ATXN expression. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1795085,ATXN2,Ataxin-2
CHEMBL197110,Binding affinity to human EAAT2 expressed in HEK293 cells in FMP (FLPR) assay,Km,BAO_0000477,,CHEMBL4973,SLC1A2,Excitatory amino acid transporter 2
CHEMBL1567809,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Human Jumonji Domain Containing 2E (JMJD2E). (Class of assay: confirmatory) ,Potency,BAO_0000186,4.65,CHEMBL1293226,KDM4E,Lysine-specific demethylase 4D-like
CHEMBL29711,PubChem BioAssay. qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in presence of CPT. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1075138,TDP1,Tyrosyl-DNA phosphodiesterase 1
CHEMBL1867641,PubChem BioAssay. qHTS for Inhibitors of PLK1-PDB (polo-like kinase 1 - polo-box domain): Primary Screen.   (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL3024,PLK1,Serine/threonine-protein kinase PLK1
CHEMBL1567809,PUBCHEM_BIOASSAY: HTS for Inhibitors of HP1-beta Chromodomain Interactions with Methylated Histone Tails. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID488962],Potency,BAO_0000186,,CHEMBL1741193,CBX1,Chromobox protein homolog 1
CHEMBL1435599,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Texas Red Labeled MLL-derived Mutant Peptide. (Class of assay: confirmatory) ,Potency,BAO_0000186,5.0,CHEMBL2093861,KMT2A,Menin/Histone-lysine N-methyltransferase MLL
CHEMBL29711,PUBCHEM_BIOASSAY: qHTS Assay for Enhancers of SMN2 Splice Variant Expression. (Class of assay: confirmatory) ,Potency,BAO_0000186,6.1,CHEMBL1293232,SMN2,Survival motor neuron protein
CHEMBL22274,PUBCHEM_BIOASSAY: qHTS for Inhibitors of Polymerase Kappa. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588638],Potency,BAO_0000186,,CHEMBL5365,POLK,DNA polymerase kappa
CHEMBL29711,PUBCHEM_BIOASSAY: qHTS Assay for Identification of Small Molecule Antagonists for Hypoxia Response Element Signaling Pathway. (Class of assay: confirmatory) [Related pubchem assays: 914 ],Potency,BAO_0000186,5.7,CHEMBL4261,HIF1A,Hypoxia-inducible factor 1 alpha
CHEMBL371946,Binding affinity to human EAAT3 expressed in HEK293 cells in FMP (FLPR) assay,Km,BAO_0000477,,CHEMBL2721,SLC1A1,Excitatory amino acid transporter 3
CHEMBL29711,PUBCHEM_BIOASSAY: qHTS Assay for Enhancers of SMN2 Splice Variant Expression. (Class of assay: confirmatory) ,Potency,BAO_0000186,5.65,CHEMBL1293232,SMN1,Survival motor neuron protein
CHEMBL22274,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of GCN5L2. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504398],Potency,BAO_0000186,,CHEMBL5501,KAT2A,Histone acetyltransferase GCN5
CHEMBL1360617,PubChem BioAssay. qHTS of TDP-43 Inhibitors. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL2362981,TARDBP,TAR DNA-binding protein 43
CHEMBL460496,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Texas Red Labeled MLL-derived Mutant Peptide. (Class of assay: confirmatory) ,Potency,BAO_0000186,4.75,CHEMBL2093861,KMT2A,Menin/Histone-lysine N-methyltransferase MLL
CHEMBL460496,PubChem BioAssay. A quantitative high throughput screen for small molecules that induce DNA re-replication in MCF 10a normal breast cells. (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1293278,GMNN,Geminin
CHEMBL1363117,PubChem BioAssay. Inhibitors of USP1/UAF1: Primary Screen.   (Class of assay: confirmatory) ,Potency,BAO_0000186,,CHEMBL1795087,USP1,Ubiquitin carboxyl-terminal hydrolase 1
CHEMBL428377,Agonist activity at human adenosine A3 receptor after 15 to 30 mins,EC50,BAO_0000188,,CHEMBL256,ADORA3,Adenosine A3 receptor
